id,rg,ctr_n,ctr,yr,mn,unit_type,unit_name,unit_n,pty_n,pty,can,pev1,vot1,vv1,ivv1,to1,cv1,cvs1,pv1,pvs1,pev2,vot2,vv2,ivv2,to2,cv2,cvs2,pv2,pvs2
5,Latin America,Uruguay,598,1989,11,Department,Treinta y Tres,19,Colorado,7,Jorge Batlle; Jorge Pacheco Areco; Hugo Fernández Faingold,-990,30083,30083,-990,-990,11695,0.376480827,11695,0.376480827,-990,-990,-990,-990,-990,-990,-990,-990,-990
5,Latin America,Uruguay,598,1989,11,Department,Treinta y Tres,19,Nacional,27,Luis Alberto Lacalle; Carlos Julio Pereyra; Alberto Zumarán,-990,30083,30083,-990,-990,16920,0.544681931,16920,0.544681931,-990,-990,-990,-990,-990,-990,-990,-990,-990
5,Latin America,Uruguay,598,1989,11,Department,Treinta y Tres,19,FrenteAmplio,13,Liber Seregni,-990,30083,30083,-990,-990,1468,0.047257276,1468,0.047257276,-990,-990,-990,-990,-990,-990,-990,-990,-990
5,Latin America,Uruguay,598,1994,11,Department,Artigas,1,Colorado,7,Julio María Sanguinetti; Jorge Batlle Ibáñez; Jorge Pacheco Areco,-990,45021,45021,-990,-990,19723,0.433396339,19723,0.433396339,-990,-990,-990,-990,-990,-990,-990,-990,-990
5,Latin America,Uruguay,598,1994,11,Department,Artigas,1,Nacional,27,Alberto Volonté; Juan Andrés Ramírez; Carlos Julio Pereyra,-990,45021,45021,-990,-990,19150,0.42080513,19150,0.42080513,-990,-990,-990,-990,-990,-990,-990,-990,-990
5,Latin America,Uruguay,598,1994,11,Department,Artigas,1,FrenteAmplio,13,Tabaré Vázquez,-990,45021,45021,-990,-990,6148,0.135097122,6148,0.135097122,-990,-990,-990,-990,-990,-990,-990,-990,-990
5,Latin America,Uruguay,598,1994,11,Department,Canelones,2,Colorado,7,Julio María Sanguinetti; Jorge Batlle Ibáñez; Jorge Pacheco Areco,-990,222947,222947,-990,-990,82831,0.347864265,82831,0.347864265,-990,-990,-990,-990,-990,-990,-990,-990,-990
5,Latin America,Uruguay,598,1994,11,Department,Canelones,2,Nacional,27,Alberto Volonté; Juan Andrés Ramírez; Carlos Julio Pereyra,-990,222947,222947,-990,-990,73668,0.309382515,73668,0.309382515,-990,-990,-990,-990,-990,-990,-990,-990,-990
5,Latin America,Uruguay,598,1994,11,Department,Canelones,2,FrenteAmplio,13,Tabaré Vázquez,-990,222947,222947,-990,-990,66448,0.279060783,66448,0.279060783,-990,-990,-990,-990,-990,-990,-990,-990,-990
5,Latin America,Uruguay,598,1994,11,Department,Cerro Largo,3,Colorado,7,Julio María Sanguinetti; Jorge Batlle Ibáñez; Jorge Pacheco Areco,-990,53536,53536,-990,-990,17747,0.326141701,17747,0.326141701,-990,-990,-990,-990,-990,-990,-990,-990,-990
